Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County Name,Population
2003,8,55-64,1,Male,1,White Non Hispanic,4,Kings,41898
2003,8,55-64,1,Male,2,Black Non Hispanic,4,Kings,31805
2003,8,55-64,1,Male,3,Other Non Hispanic,4,Kings,8754
2003,8,55-64,1,Male,5,Hispanic,4,Kings,16420
2003,8,55-64,2,Female,0,Total,4,Kings,125534
2003,8,55-64,2,Female,1,White Non Hispanic,4,Kings,47823
2003,8,55-64,2,Female,2,Black Non Hispanic,4,Kings,48012
2003,8,55-64,2,Female,3,Other Non Hispanic,4,Kings,8802
2003,8,55-64,2,Female,5,Hispanic,4,Kings,20897
2003,9,65-74,0,Total,0,Total,4,Kings,150430
2003,9,65-74,0,Total,1,White Non Hispanic,4,Kings,70415
2003,9,65-74,0,Total,2,Black Non Hispanic,4,Kings,47848
2003,9,65-74,0,Total,3,Other Non Hispanic,4,Kings,11497
2003,9,65-74,0,Total,5,Hispanic,4,Kings,20670
2003,9,65-74,1,Male,0,Total,4,Kings,62608
2003,9,65-74,1,Male,1,White Non Hispanic,4,Kings,30682
2003,9,65-74,1,Male,2,Black Non Hispanic,4,Kings,18026
2003,9,65-74,1,Male,3,Other Non Hispanic,4,Kings,5522
2003,9,65-74,1,Male,5,Hispanic,4,Kings,8378
2003,9,65-74,2,Female,0,Total,4,Kings,87822
2003,9,65-74,2,Female,1,White Non Hispanic,4,Kings,39733
2003,9,65-74,2,Female,2,Black Non Hispanic,4,Kings,29822
2003,9,65-74,2,Female,3,Other Non Hispanic,4,Kings,5975
2003,9,65-74,2,Female,5,Hispanic,4,Kings,12292
2003,10,75-84,0,Total,0,Total,4,Kings,102804
2003,10,75-84,0,Total,1,White Non Hispanic,4,Kings,62056
2003,10,75-84,0,Total,2,Black Non Hispanic,4,Kings,25661
2003,10,75-84,0,Total,3,Other Non Hispanic,4,Kings,5135
2003,10,75-84,0,Total,5,Hispanic,4,Kings,9952
2003,10,75-84,1,Male,0,Total,4,Kings,37669
2003,10,75-84,1,Male,1,White Non Hispanic,4,Kings,23594
