Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County Name,Population
2003,8,55-64,1,Male,2,Black Non Hispanic,6,Queens,18157
2003,8,55-64,1,Male,3,Other Non Hispanic,6,Queens,20184
2003,8,55-64,1,Male,5,Hispanic,6,Queens,19032
2003,8,55-64,2,Female,0,Total,6,Queens,117573
2003,8,55-64,2,Female,1,White Non Hispanic,6,Queens,45843
2003,8,55-64,2,Female,2,Black Non Hispanic,6,Queens,26478
2003,8,55-64,2,Female,3,Other Non Hispanic,6,Queens,21327
2003,8,55-64,2,Female,5,Hispanic,6,Queens,23925
2003,9,65-74,0,Total,0,Total,6,Queens,145250
2003,9,65-74,0,Total,1,White Non Hispanic,6,Queens,71284
2003,9,65-74,0,Total,2,Black Non Hispanic,6,Queens,27287
2003,9,65-74,0,Total,3,Other Non Hispanic,6,Queens,23350
2003,9,65-74,0,Total,5,Hispanic,6,Queens,23329
2003,9,65-74,1,Male,0,Total,6,Queens,61805
2003,9,65-74,1,Male,1,White Non Hispanic,6,Queens,30762
2003,9,65-74,1,Male,2,Black Non Hispanic,6,Queens,10528
2003,9,65-74,1,Male,3,Other Non Hispanic,6,Queens,10982
2003,9,65-74,1,Male,5,Hispanic,6,Queens,9533
2003,9,65-74,2,Female,0,Total,6,Queens,83445
2003,9,65-74,2,Female,1,White Non Hispanic,6,Queens,40522
2003,9,65-74,2,Female,2,Black Non Hispanic,6,Queens,16759
2003,9,65-74,2,Female,3,Other Non Hispanic,6,Queens,12368
2003,9,65-74,2,Female,5,Hispanic,6,Queens,13796
2003,10,75-84,0,Total,0,Total,6,Queens,102512
2003,10,75-84,0,Total,1,White Non Hispanic,6,Queens,64984
2003,10,75-84,0,Total,2,Black Non Hispanic,6,Queens,16308
2003,10,75-84,0,Total,3,Other Non Hispanic,6,Queens,10576
2003,10,75-84,0,Total,5,Hispanic,6,Queens,10644
2003,10,75-84,1,Male,0,Total,6,Queens,38672
2003,10,75-84,1,Male,1,White Non Hispanic,6,Queens,24957
2003,10,75-84,1,Male,2,Black Non Hispanic,6,Queens,5542
2003,10,75-84,1,Male,3,Other Non Hispanic,6,Queens,4551
2003,10,75-84,1,Male,5,Hispanic,6,Queens,3622
2003,10,75-84,2,Female,0,Total,6,Queens,63840
2003,10,75-84,2,Female,1,White Non Hispanic,6,Queens,40027
2003,10,75-84,2,Female,2,Black Non Hispanic,6,Queens,10766
2003,10,75-84,2,Female,3,Other Non Hispanic,6,Queens,6025
2003,10,75-84,2,Female,5,Hispanic,6,Queens,7022
2003,11,85+,0,Total,0,Total,6,Queens,40955
2003,11,85+,0,Total,1,White Non Hispanic,6,Queens,29348
2003,11,85+,0,Total,2,Black Non Hispanic,6,Queens,5270
