year,pct,arstmade,frisked,searched,sex,race,age,build,city,crimsusp,arstoffn
2015,23,N,Y,N,M,Q,18,H,MANHATTAN,FEL, 
2015,14,N,Y,N,M,B,14,T,MANHATTAN,FEL, 
2015,14,Y,Y,N,M,B,15,T,MANHATTAN,FEL,DISCON/RESISTING
2015,112,N,N,N,M,W,20,H,QUEENS,MISD, 
2015,47,N,Y,Y,M,B,13,T,BRONX,FEL/ROB, 
2015,47,N,Y,Y,M,B,13,M,BRONX,FEL/ROB, 
2015,79,N,N,N,M,B,19,M,BROOKLYN,FEL, 
2015,32,N,Y,N,M,B,20,M,MANHATTAN,FELONY, 
2015,75,N,Y,N,M,B,18,M,BROOKLYN,BURGLARY`, 
2015,75,N,Y,N,M,B,18,M,BROOKLYN,BURGLARY, 
2015,75,N,Y,Y,M,P,19,M,BROOKLYN,BURGLARY, 
2015,108,N,Y,N,F,B,25,T,QUEENS,FELONY, 
2015,108,N,Y,N,F,B,26,T,QUEENS,FELONY, 
2015,108,N,Y,N,M,B,23,T,QUEENS,FELONY, 
2015,108,N,Y,N,M,B,32,T,QUEENS,FELONY, 
2015,33,N,Y,N,M,P,28,M,MANHATTAN,FELONY, 
2015,60,N,Y,N,M,B,46,M,BROOKLYN,CPW, 
2015,34,N,Y,N,M,P,49,M,MANHATTAN,FEL, 
2015,102,Y,Y,Y,M,A,18,M,QUEENS,ASSAULT,PL 120.01
2015,75,Y,Y,Y,M,B,17,T,BROOKLYN,BURGLARY,155.3
2015,46,N,Y,N,M,B,23,T,BRONX,CPW/ATTEMPED MURDER OF P, 
2015,46,N,Y,N,M,P,25,M,BRONX,CPW/ATT MURDER OF PO, 
2015,32,N,N,N,M,B,20,M,MANHATTAN,MISD, 
2015,32,Y,Y,N,M,B,19,T,MANHATTAN,MISD,CPM 5
2015,32,N,N,N,M,B,18,M,MANHATTAN,MISD, 
2015,107,N,Y,N,M,B,25,M,QUEENS,ROBBERY, 
2015,107,N,Y,N,M,B,25,M,QUEENS,ROBBERY, 
2015,107,N,Y,N,M,B,24,M,QUEENS,ROBBERY, 
2015,19,Y,Y,N,M,P,17,T,MANHATTAN,MISD,CPFI
2015,110,Y,Y,Y,M,Q,15,T,QUEENS,ROBBERY,ROBBERY
2015,9,N,Y,N,M,B,48,H,MANHATTAN,FEL, 
2015,88,N,N,N,F,B,24,M,BROOKLYN,PETIT LARC, 
2015,114,N,N,N,M,A,24,T,QUEENS,FEL, 
2015,114,N,N,N,M,W,21,T,QUEENS,FEL, 
2015,33,N,N,N,M,Q,22,M,MANHATTAN,MISD, 
2015,33,N,N,N,M,Q,19,H,MANHATTAN,MISD, 
2015,43,Y,Y,Y,M,B,33,M,BRONX,MISD,CRIM TRES
2015,115,N,Y,N,M,P,24,H,QUEENS,ASSAULT, 
2015,115,N,Y,N,M,Q,19,M,QUEENS,ASSAULT, 
2015,108,N,Y,Y,M,B,23,M,QUEENS,FELONY, 
2015,43,N,Y,N,M,B,25,M,BRONX,MISD, 
2015,43,N,Y,N,M,B,25,M,BRONX,MISD, 
2015,112,N,Y,N,M,W,21,M,QUEENS,FEL/GLFA, 
2015,43,N,Y,N,M,Q,47,M,BRONX,MISD, 
2015,79,N,Y,N,M,Q,22,M,BROOKLYN,ROBBERY, 
2015,67,N,Y,N,M,B,54,T,BROOKLYN,FEL, 
2015,108,N,Y,N,M,A,20,M,QUEENS,GRAND LARCENY, 
2015,106,N,Y,N,M,Q,22,T,QUEENS,FELONY, 
2015,106,N,Y,N,M,W,25,T,QUEENS,FELONY, 
2015,79,N,Y,N,M,B,17,T,BROOKLYN,ROBBERY, 
2015,19,Y,N,N,M,B,53,T,MANHATTAN,MISD,CPSP
2015,114,N,Y,N,M,B,23,T,QUEENS,FEL, 
2015,114,N,Y,N,M,Q,23,M,QUEENS,FEL, 
2015,115,N,Y,N,M,Q,34,M,QUEENS,FELONY, 
2015,102,N,Y,N,M,Q,28,M,QUEENS,ASSAULT, 
2015,115,N,Y,N,M,P,29,T,QUEENS,GRAND LARCENY AUTO, 
2015,63,Y,Y,N,M,B,18,T,BROOKLYN,MISD,UUV
2015,33,N,N,N,M,P,16,H,MANHATTAN,FELONY, 
2015,1,N,N,N,F,Q,0,M,MANHATTAN,MISD, 
2015,20,N,N,N,M,B,39,M,MANHATTAN,FEL, 
2015,77,N,N,N,M,B,54,T,BROOKLYN,BURGLARY, 
2015,26,N,N,N,F,B,16,T,MANHATTAN,MISD, 
