year,pct,sex,race,age,build,city,crimsusp
2014,32,M,B,26,M,MANHATTAN,FELONY
2014,25,F,B,16,M,MANHATTAN,MISD
2014,25,F,B,19,M,MANHATTAN,MISD
2014,25,M,Q,21,M,MANHATTAN,MISD
2014,101,M,B,26,M,QUEENS,FEL
2014,67,M,B,17,H,BROOKLYN,MISD
2014,67,M,B,20,T,BROOKLYN,FEL
2014,67,M,B,18,T,BROOKLYN,FEL
2014,67,M,B,21,M,BROOKLYN,FELONY
2014,67,M,B,22,M,BROOKLYN,FELONY
2014,23,M,W,23,T,MANHATTAN,FELONY
2014,114,M,B,15,M,QUEENS,CPW
2014,114,M,B,18,M,QUEENS,CPM
2014,72,M,Q,21,M,BROOKLYN,FEL
2014,72,M,Q,18,M,BROOKLYN,FEL
2014,72,M,Q,19,M,BROOKLYN,FEL
2014,72,M,Q,19,M,BROOKLYN,FEL
2014,67,F,B,23,M,BROOKLYN,FEL
2014,67,M,B,23,M,BROOKLYN,FEL
2014,67,M,B,23,M,BROOKLYN,FEL
2014,79,M,B,36,M,BROOKLYN,GLA
2014,67,M,B,24,M,BROOKLYN,FEL
2014,67,M,B,20,T,BROOKLYN,FEL
2014,121,M,B,43,M,STATEN ISLAND,GRAND LARCENY
2014,120,M,B,26,M,STATEN ISLAND,ROBBERY
2014,62,M,A,24,T,BROOKLYN,CPCS
2014,62,M,B,24,T,BROOKLYN,CPCS
2014,69,M,B,23,U,BROOKLYN,FEL
2014,69,M,B,19,U,BROOKLYN,FEL
2014,62,M,W,24,T,BROOKLYN,CPCS
2014,121,M,B,37,M,STATEN ISLAND,ASSUALT
2014,120,M,B,23,M,STATEN ISLAND,CRIM MISC
2014,83,M,B,24,H,BROOKLYN,FEL
2014,83,M,Q,24,M,BROOKLYN,FEL
2014,10,M,B,59,M,MANHATTAN,CRIM TRES
2014,67,M,B,26,T,BROOKLYN,FEL
2014,120,M,B,37,T,STATEN ISLAND,CPW
2014,5,M,B,32,H,MANHATTAN,ROBBERY
2014,90,M,B,33,M,BROOKLYN,FEL
2014,121,M,P,40,H,STATEN ISLAND,CPW
2014,60,M,W,21,T,BROOKLYN,FEL
2014,40,M,B,41,M,BRONX,MISD
2014,105,M,B,20,T,QUEENS,FELONY
2014,105,M,B,20,T,QUEENS,FELONY
2014,105,M,B,20,T,QUEENS,FELONY
2014,79,M,B,50,M,BROOKLYN,MISD
2014,101,M,B,22,T,QUEENS,FELONY
2014,120,M,Q,36,M,STATEN ISLAND,CPW
2014,81,M,B,21,H,BROOKLYN,GLA/CPW
2014,90,M,B,42,H,BROOKLYN,FEL
2014,90,M,W,53,M,BROOKLYN,BURGLARY
2014,28,F,Q,50,T,MANHATTAN,MISD
2014,73,M,B,32,T,BROOKLYN,FEL
2014,102,M,W,35,M,QUEENS,GLA
2014,79,M,W,27,M,BROOKLYN,MISD
2014,25,M,B,46,M,MANHATTAN,CPW
2014,14,M,B,30,M,MANHATTAN,MISD
2014,90,M,Q,39,T,BROOKLYN,CRIM TRES
2014,19,M,W,34,M,MANHATTAN,MISD
2014,23,M,B,42,M,MANHATTAN,MISD
2014,23,M,P,39,T,MANHATTAN,MISD
2014,67,F,B,36,M,BROOKLYN,FEL
2014,14,M,B,54,T,MANHATTAN,CRIMINAL TAMPERING
2014,14,M,B,53,M,MANHATTAN,CRIMINAL TAMPERING
2014,20,M,P,21,M,MANHATTAN,FELONY
2014,14,M,B,56,M,MANHATTAN,UNLAWFUL SALE OF FARE MEDIA
2014,84,M,B,49,M,BROOKLYN,FELONY
2014,84,M,Q,54,M,BROOKLYN,FELONY
2014,120,M,B,30,M,STATEN ISLAND,MIS
2014,70,M,W,24,M,BROOKLYN,FEL
2014,76,M,P,48,M,BROOKLYN,FEL
2014,107,M,Q,22,M,QUEENS,CPW
2014,25,M,Q,29,M,MANHATTAN,MISD
2014,43,F,B,47,M,BRONX,MISD
2014,114,M,B,26,M,QUEENS,FEL
2014,114,M,B,24,T,QUEENS,FEL
2014,94,M,Q,45,H,BROOKLYN,MISD
2014,70,M,B,25,M,BROOKLYN,FEL
2014,107,M,Z,20,T,QUEENS,CPW
2014,90,M,B,34,H,BROOKLYN,FEL
2014,14,M,B,28,M,MANHATTAN,MISD
2014,90,M,Q,45,M,BROOKLYN,CRIM TRES
2014,45,M,B,36,M,BRONX,FELONY
2014,70,M,B,42,M,BROOKLYN,FEL
2014,101,M,Q,52,M,QUEENS,GRAND LARCENY AUTO
2014,45,M,B,32,M,BRONX,FELONY
2014,102,M,B,16,T,QUEENS,BURGLARY
2014,88,M,B,35,M,BROOKLYN,CPW
2014,112,M,W,34,M,QUEENS,FEL GLFA
2014,67,M,B,23,M,BROOKLYN,FEK
2014,44,M,Q,18,T,BRONX,CPW
2014,44,M,Q,19,T,BRONX,CPW
2014,44,M,Q,19,T,BRONX,CPW
2014,107,M,B,24,M,QUEENS,GRAND LARCENY
2014,60,M,B,37,M,BROOKLYN,MISD
2014,79,M,B,39,M,BROOKLYN,MISD
2014,114,M,A,22,T,QUEENS,FEL
2014,101,M,B,14,M,QUEENS,MISD
2014,101,M,B,15,H,QUEENS,MISD
2014,41,M,B,13,T,BRONX,ROBBERY
2014,41,M,B,15,M,BRONX,ROBBERY
2014,101,M,B,15,M,QUEENS,CRIM TRES
2014,101,M,B,15,M,QUEENS,CRIM TRES
2014,41,M,P,16,M,BRONX,ROBBERY
2014,107,M,A,23,T,QUEENS,CPW
2014,41,M,B,22,M,BRONX,CPW
2014,75,M,B,49,M,BROOKLYN,ASSAULT
2014,41,M,P,22,M,BRONX,CPW
2014,101,M,B,42,M,QUEENS,FELONY
2014,46,M,Q,42,M,BRONX,CPW
2014,79,M,B,17,M,BROOKLYN,MISD
2014,79,M,B,24,M,BROOKLYN,MISD
2014,75,M,B,18,T,BROOKLYN,CRIM TRES
2014,49,M,P,38,M,BRONX,FELONY
2014,25,F,B,16,T,MANHATTAN,MISD
2014,25,M,Q,17,M,MANHATTAN,MISD
2014,90,M,B,15,T,BROOKLYN,FEL
2014,73,M,B,25,T,BROOKLYN,CPW
2014,73,M,B,22,T,BROOKLYN,CPW
2014,101,M,B,22,T,QUEENS,FELONY
2014,114,M,Q,26,M,QUEENS,MISD
2014,40,M,B,23,T,BRONX,CPM (MISD)
2014,25,F,B,20,T,MANHATTAN,MISD
2014,101,M,B,18,M,QUEENS,FELONY
2014,44,M,Q,34,T,BRONX,CPW
2014,52,M,P,25,M,BRONX,MISD
2014,46,M,B,43,M,BRONX,ROBBERY
2014,18,M,B,28,M,MANHATTAN,MISD
2014,62,M,W,24,T,BROOKLYN,CSCS
2014,25,M,B,**,M,MANHATTAN,GLA
2014,107,M,B,19,M,QUEENS,CPW
2014,40,M,Q,23,T,BRONX,CPM (MISD)
2014,71,M,Z,55,T,BROOKLYN,MISD
2014,67,M,B,18,M,BROOKLYN,MISD
2014,40,M,Q,38,M,BRONX,CRIMINAL TRESPASS
2014,67,M,B,19,M,BROOKLYN,FEL
2014,79,M,B,26,M,BROOKLYN,FELONY
2014,67,M,B,19,M,BROOKLYN,FEL
2014,67,M,B,41,M,BROOKLYN,FEL
2014,100,M,B,20,T,QUEENS,FEL
2014,71,M,B,**,H,BROOKLYN,"CPW,MENACING"
2014,46,M,Q,31,M,BRONX,ROBBERY
2014,46,M,Q,33,M,BRONX,ROBBERY
2014,40,M,B,31,M,BRONX,MISD
2014,101,M,B,19,T,QUEENS,FEL
2014,101,M,B,22,M,QUEENS,FELONY
2014,46,F,Q,30,M,BRONX,CPW
2014,72,M,W,38,H,BROOKLYN,FEL
2014,25,M,Q,42,H,MANHATTAN,MISD
2014,44,M,B,20,T,BRONX,CPW
2014,67,M,B,18,T,BROOKLYN,FEL
2014,23,M,B,20,M,MANHATTAN,FEL
2014,120,M,B,18,M,STATEN ISLAND,CRIMINAL TRESPASS
2014,120,M,B,19,T,STATEN ISLAND,CPW
2014,120,M,B,22,M,STATEN ISLAND,CRIM TRES
2014,40,M,B,53,T,BRONX,CRIMINAL TRESPASS
2014,28,M,B,25,T,MANHATTAN,FELONY
2014,101,M,B,33,M,QUEENS,FELONY
2014,44,M,B,32,M,BRONX,CPW
2014,83,M,Q,20,T,BROOKLYN,MISD
2014,83,M,Q,21,T,BROOKLYN,MISD
2014,122,M,B,21,M,STATEN ISLAND,ASS
2014,122,M,B,21,T,STATEN ISLAND,ASS
2014,122,M,B,17,T,STATEN ISLAND,ASS
2014,24,M,P,44,T,MANHATTAN,ROBBERY
2014,107,M,B,34,M,QUEENS,BURGLARY
2014,60,M,Q,32,M,BROOKLYN,MISD
2014,62,M,I,22,M,BROOKLYN,BURGLARY
2014,62,M,W,54,T,BROOKLYN,BURGLARY
2014,28,M,Q,43,M,MANHATTAN,MISD
2014,13,M,B,26,M,MANHATTAN,FELONY
2014,49,M,B,57,H,BRONX,FELONY
2014,114,M,Q,21,T,QUEENS,FEL
2014,49,M,Q,66,M,BRONX,FELONY
2014,19,M,B,22,M,MANHATTAN,SEX ABUSE
2014,23,M,B,61,M,MANHATTAN,GRAND LARCENY
2014,25,M,P,55,T,MANHATTAN,GRAND LARCENY
2014,13,M,Q,42,T,MANHATTAN,MISDEMEANOR
2014,121,M,Q,27,T,STATEN ISLAND,PETIT LARCENY
2014,19,M,W,29,M,MANHATTAN,FEL
2014,101,M,B,25,M,QUEENS,CPW
2014,70,M,B,17,T,BROOKLYN,MISD
2014,121,M,W,34,M,STATEN ISLAND,GLA
2014,83,M,B,16,M,BROOKLYN,FEL
2014,120,M,Q,53,T,STATEN ISLAND,PETIT LARCENY
2014,114,M,Q,40,M,QUEENS,FEL
2014,105,F,Q,28,M,QUEENS,MISD
2014,105,M,B,30,M,QUEENS,MISD
2014,75,M,P,16,M,BROOKLYN,ROBBERY
2014,43,M,B,18,M,BRONX,FEL
2014,43,M,B,19,M,BRONX,FEL
2014,101,M,B,52,T,QUEENS,FELONY
2014,66,M,Q,31,H,BROOKLYN,MISD
2014,5,M,B,17,M,MANHATTAN,FEL
2014,40,M,B,51,M,BRONX,CRIM
2014,44,M,B,22,H,BRONX,CPW
2014,115,M,Q,24,H,QUEENS,GRAND LARCENY
2014,25,M,B,53,T,MANHATTAN,MISD
2014,44,M,B,22,M,BRONX,ROBBERY
2014,44,M,B,20,M,BRONX,ROBBERY
2014,40,M,Q,16,M,BRONX,CT
2014,67,M,A,20,M,BROOKLYN,FEL
2014,67,M,A,19,M,BROOKLYN,FEL
2014,101,M,B,16,M,QUEENS,FELONY
2014,40,M,Q,22,M,BRONX,MISD
2014,43,M,P,23,M,BRONX,MISD
2014,107,M,B,13,T,QUEENS,CPW
2014,25,M,B,69,T,MANHATTAN,MISD
2014,107,M,B,13,H,QUEENS,CPW
2014,52,M,P,27,M,BRONX,MISD
2014,44,M,Q,15,T,BRONX,ATTEMPTED ROBBERY
2014,79,M,B,40,U,BROOKLYN,CPCS
2014,104,M,B,18,M,QUEENS,CPW
2014,67,F,B,21,M,BROOKLYN,FEL
2014,67,M,B,25,M,BROOKLYN,FEL
2014,67,M,B,24,M,BROOKLYN,FEL
2014,67,M,B,23,M,BROOKLYN,FEL
2014,25,M,P,24,M,MANHATTAN,MISD
2014,25,M,Q,38,T,MANHATTAN,MISD
2014,120,M,B,17,M,STATEN ISLAND,CPW
2014,25,M,B,52,M,MANHATTAN,MISD
2014,25,F,Q,24,T,MANHATTAN,MISD
2014,101,M,B,54,M,QUEENS,FELONY
2014,44,M,B,18,T,BRONX,ROBBERY
2014,44,M,B,15,T,BRONX,ROBBERY
2014,44,M,B,20,M,BRONX,ROBBERY
